"SiteID","Pct_Windows_Facing_North","Pct_Windows_Facing_NorthEast","Pct_Windows_Facing_East","Pct_Windows_Facing_SouthEast","Pct_Windows_Facing_South","Pct_Windows_Facing_SouthWest","Pct_Windows_Facing_West","Pct_Windows_Facing_NorthWest","Pct_Windows_Facing_Unknown"
"SITE_1066","34.8%","0.0%","13.0%","0.0%","43.5%","0.0%","8.7%","0.0%","0.0%"
"SITE_1067","0.0%","15.8%","0.0%","36.8%","0.0%","15.8%","0.0%","31.6%","0.0%"
"SITE_1068","18.2%","9.1%","18.2%","0.0%","36.4%","0.0%","9.1%","9.1%","0.0%"
"SITE_1069","0.0%","13.3%","0.0%","33.3%","0.0%","20.0%","0.0%","33.3%","0.0%"
"SITE_107","0.0%","0.0%","33.3%","0.0%","0.0%","0.0%","66.7%","0.0%","0.0%"
"SITE_1070","28.6%","0.0%","28.6%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1071","37.5%","0.0%","25.0%","0.0%","25.0%","0.0%","12.5%","0.0%","0.0%"
"SITE_1072","8.0%","0.0%","36.0%","0.0%","20.0%","0.0%","36.0%","0.0%","0.0%"
"SITE_1073","7.7%","0.0%","15.4%","7.7%","23.1%","7.7%","38.5%","0.0%","0.0%"
"SITE_1074","26.3%","0.0%","36.8%","0.0%","10.5%","0.0%","26.3%","0.0%","0.0%"
"SITE_1075","8.3%","0.0%","33.3%","0.0%","16.7%","0.0%","41.7%","0.0%","0.0%"
"SITE_1076","33.3%","0.0%","16.7%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1077","16.7%","0.0%","33.3%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1078","35.3%","0.0%","17.6%","0.0%","29.4%","0.0%","17.6%","0.0%","0.0%"
"SITE_1079","30.0%","0.0%","20.0%","0.0%","40.0%","0.0%","10.0%","0.0%","0.0%"
"SITE_108","42.1%","0.0%","10.5%","0.0%","31.6%","0.0%","15.8%","0.0%","0.0%"
"SITE_1080","57.1%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1081","0.0%","0.0%","66.7%","0.0%","0.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1082","40.0%","0.0%","26.7%","0.0%","26.7%","0.0%","6.7%","0.0%","0.0%"
