"SiteID","RoomID","ApplianceID","Type","Make","Model","Vintage","Serial","Energy_Star","Programmed","Thermostat_Wifi_Controls_Used","System_Controlled","Room_Type"
"SITE_799","ROOM_22821","APPL_154354","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_799","ROOM_37422","APPL_10739","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_8","ROOM_26792","APPL_10845","Programmable thermostat","Honeywell","UNKNOWN","Unknown","302002500319117","Unknown","No",NA,"Central System","Hallway"
"SITE_800","ROOM_39062","APPL_23905","Programmable thermostat","Easy Heat","WARM TILES","Unknown","14082-001","Unknown","No",NA,"Zonal System","Bathroom"
"SITE_800","ROOM_45877","APPL_53219","Manual thermostat - Analog","Unknown","WARM TILES","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_800","ROOM_7401","APPL_4013","Programmable thermostat","Unknown","UNKNOWN","Unknown","UNKNOWN","No","Unknown",NA,"Unknown","Living Room"
"SITE_800","ROOM_15565","APPL_2014","Programmable thermostat","Lux","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Kitchen"
"SITE_801","ROOM_26090","APPL_75740","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Entry/Entryway"
"SITE_801","ROOM_3159","APPL_125235","Manual thermostat - Digital","Daikin","052U","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Living Room"
"SITE_801","ROOM_12323","APPL_43752","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Laundry"
"SITE_801","ROOM_6214","APPL_6759","Programmable thermostat","SunTouch","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Zonal System","Bathroom"
"SITE_801","ROOM_6599","APPL_166110","Manual thermostat - Digital","Daikin","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_801","ROOM_17145","APPL_130234","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Outbuilding / Addition"
"SITE_801","ROOM_6647","APPL_173100","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Outbuilding / Addition"
"SITE_801","ROOM_19669","APPL_412","Manual thermostat - Digital","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Unknown","Outbuilding / Addition"
"SITE_801","ROOM_12730","APPL_114055","Manual thermostat - Digital","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Unknown","Outbuilding / Addition"
"SITE_802","ROOM_21466","APPL_43723","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_802","ROOM_13220","APPL_57909","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_802","ROOM_43684","APPL_173099","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Kitchen"
"SITE_802","ROOM_32843","APPL_120419","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_802","ROOM_17521","APPL_114660","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_803","ROOM_4735","APPL_141359","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Living Room"
"SITE_803","ROOM_4735","APPL_52615","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Living Room"
"SITE_804","ROOM_12207","APPL_148818","Programmable thermostat","Laticrete","UNKNOWN","Unknown","UNKNOWN","No","No",NA,"Zonal System","Bedroom"
"SITE_804","ROOM_35762","APPL_76874","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Family Room"
"SITE_804","ROOM_25444","APPL_59992","Programmable thermostat","Laticrete","UNKNOWN","Unknown","UNKNOWN","No","No",NA,"Zonal System","Bathroom"
"SITE_804","ROOM_21252","APPL_86090","Programmable thermostat","Laticrete","UNKNOWN","Unknown","UNKNOWN","No","No",NA,"Zonal System","Bathroom"
"SITE_804","ROOM_5382","APPL_115600","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Closet"
"SITE_805","ROOM_7978","APPL_38630","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","No",NA,"Central System","Living Room"
"SITE_806","ROOM_34677","APPL_131576","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Hallway"
"SITE_807","ROOM_42930","APPL_110454","Programmable thermostat","Lux","1500","Unknown","UNKNOWN","Yes","Yes",NA,"Central System","Hallway"
