"SiteID","RoomID","ApplianceID","Make","Make_Other","Model","Vintage","Serial","WiFi_Capable","Motor_Power","Motor_Power_Units","Disposal_Missing_Model_Reason","Disposal_Missing_Model_Reason_Other"
"SITE_1032","ROOM_1889","APPL_90835","InSinkErator",NA,"#5-81A","Unknown","#05021640244","No","0.5","HP",NA,NA
"SITE_1033","ROOM_30980","APPL_68989","InSinkErator",NA,"PRO SS","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1036","ROOM_11885","APPL_8895","InSinkErator",NA,"E101-2","Unknown","#15101016406","No","0.33","HP",NA,NA
"SITE_1039","ROOM_17569","APPL_100617","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA
"SITE_104","ROOM_42246","APPL_76322","Other","American Standard","ASD-1250","Unknown","Unknown","No","1.25","HP",NA,NA
"SITE_1041","ROOM_24279","APPL_154595","InSinkErator",NA,"#5-84A","Unknown","#16081330064","No","0.5","HP",NA,NA
"SITE_1042","ROOM_46211","APPL_46513","InSinkErator",NA,"#1-87A","Unknown","#13041811875","No","0.33","HP",NA,NA
"SITE_1044","ROOM_31724","APPL_117863","InSinkErator",NA,"#5-84","Unknown","#12091674509","No","0.5","HP",NA,NA
"SITE_1046","ROOM_2757","APPL_116748","Viking",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,"Unknown",NA
"SITE_1047","ROOM_10514","APPL_157089","InSinkErator",NA,"#5-81","Unknown","#09051801560","No","0.5","HP",NA,NA
"SITE_1049","ROOM_41375","APPL_103220","InSinkErator",NA,"SPACE SAVER XP-1","Unknown","#160443036040","No","0.75","HP",NA,NA
"SITE_105","ROOM_32128","APPL_87478","InSinkErator",NA,"PREMIER","Unknown","#09071513951","No","0.75","HP",NA,NA
"SITE_1052","ROOM_16484","APPL_88316","InSinkErator",NA,"BADGER","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1053","ROOM_17177","APPL_18016","InSinkErator",NA,"BADGER 100-1","Unknown","#19121298233","No","0.33","HP",NA,NA
"SITE_1054","ROOM_29393","APPL_96038","Other","American Standard","ADD-1250","Unknown","Unknown","No","1","HP",NA,NA
"SITE_1055","ROOM_6243","APPL_103733","Waste King",NA,"GXS75C","Unknown","2F0-049787-59","No","0.75","HP",NA,NA
"SITE_1057","ROOM_22439","APPL_112215","InSinkErator",NA,"BADGER 500-1","Unknown","#16061042","No","0.5","HP",NA,NA
"SITE_1058","ROOM_5584","APPL_78157","InSinkErator",NA,"SPACE SAVER P-1","Unknown","#10071587089","No","0.6","HP",NA,NA
"SITE_1059","ROOM_32373","APPL_90833","InSinkErator",NA,"BADGER 5-89A","Unknown","#20071276929","No","0.5","HP",NA,NA
"SITE_1061","ROOM_15032","APPL_2802","Other","Ace Hardware","#2000","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1062","ROOM_17880","APPL_136645","InSinkErator",NA,"BADGER5","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1063","ROOM_15509","APPL_75256","InSinkErator",NA,"PRO750-2","Unknown","#17063063108","No","0.75","kW",NA,NA
"SITE_1064","ROOM_35912","APPL_98120","InSinkErator",NA,"COMPACT","Unknown","#08021520605","No","0.75","HP",NA,NA
"SITE_1065","ROOM_42983","APPL_38105","InSinkErator",NA,"BADGER 5","Unknown","Unknown","No","1","HP",NA,NA
"SITE_1066","ROOM_35258","APPL_58740","InSinkErator",NA,"SELECT PLUS-6","Unknown","#20013009715","No","0.75","HP",NA,NA
"SITE_1069","ROOM_13605","APPL_14593","Other","Sink Guard","SS170","Unknown","#1400008060500152","No","0.33","HP",NA,NA
"SITE_1070","ROOM_4002","APPL_8698","Waste King",NA,"Unknown","Unknown","Unknown","No","0.75","HP","NO NAMEPLATE",NA
"SITE_1071","ROOM_41638","APPL_26398","InSinkErator",NA,"#1-83","Unknown","#06071602483","No","0.3","HP",NA,NA
"SITE_1072","ROOM_42765","APPL_144693","Other","American Standard","ASD-1250","Unknown","Unknown","No","1.25","HP",NA,NA
"SITE_1074","ROOM_45325","APPL_47054","Waste King",NA,"LEGEND 3200","Unknown","1F5-04867-59","No","0.75","HP",NA,NA
"SITE_1078","ROOM_8477","APPL_36178","General Electric",NA,"GFC100==03","Unknown","GV107866B","No","Unknown",NA,NA,NA
"SITE_1078","ROOM_22021","APPL_9938","InSinkErator",NA,"#5-87 A","Unknown","#19041145580","No","Unknown",NA,NA,NA
"SITE_108","ROOM_7714","APPL_105663","InSinkErator",NA,"EVOLUTION PRO 750","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1082","ROOM_7660","APPL_42870","Other","Evergrind","#E101","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1087","ROOM_27111","APPL_83320","InSinkErator",NA,"#5-84","Unknown","#17091344108","No","0.5","HP",NA,NA
"SITE_109","ROOM_43985","APPL_72355","Other","American Standard","ASD-1250","Unknown","Unknown","No","1.25","HP",NA,NA
"SITE_1090","ROOM_23664","APPL_94375","InSinkErator",NA,"BADGER 5-89A","Unknown","#20071277015","No","Unknown",NA,NA,NA
"SITE_1092","ROOM_22918","APPL_106777","InSinkErator",NA,"E101-2","Unknown","#16051160071","No","0.33","HP",NA,NA
"SITE_1093","ROOM_16401","APPL_22596","InSinkErator",NA,"#5-84","Unknown","#17071131453","No","0.5","HP",NA,NA
"SITE_1094","ROOM_5356","APPL_88599","InSinkErator",NA,"ESSENTIAL","Unknown","#07061740155","No","0.75","HP",NA,NA
"SITE_1095","ROOM_23650","APPL_127767","InSinkErator",NA,"PRO 77","Unknown","Unknown","Unknown","1","HP",NA,NA
"SITE_1099","ROOM_34801","APPL_82128","InSinkErator",NA,"PREMIER","Unknown","#08091518288","No","0.75","HP",NA,NA
"SITE_11","ROOM_45221","APPL_43131","InSinkErator",NA,"333/SS-39","Unknown","LH 47717305","No","0.5","HP",NA,NA
"SITE_1101","ROOM_13463","APPL_106881","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,"NO NAMEPLATE",NA
"SITE_1102","ROOM_43119","APPL_134841","Waste King",NA,"GXP50C","Unknown","2J1-004267-59","No","0.5","HP",NA,NA
"SITE_1103","ROOM_16295","APPL_97437","Waste King",NA,"EX50C","Unknown","281-175401-59","No","0.5","HP",NA,NA
"SITE_1104","ROOM_40921","APPL_38810","InSinkErator",NA,"#EVERGRIND E101","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1105","ROOM_34173","APPL_124664","Whirlpool",NA,"#GC2000XE5","Unknown","FN71702740","No","0.5","HP",NA,NA
"SITE_1107","ROOM_33514","APPL_157589","Waste King",NA,"LEGEND SERIES 8000","Unknown","1L5-10934-59","No","1","HP",NA,NA
"SITE_1109","ROOM_22276","APPL_112934","InSinkErator",NA,"BADGER 15SS-1","Unknown","#14121825279","No","0.75","HP",NA,NA
"SITE_111","ROOM_26336","APPL_19173","InSinkErator",NA,"BADGER 5XL-1","Unknown","#21061167740","No","0.5","HP",NA,NA
"SITE_1111","ROOM_32450","APPL_117841","InSinkErator",NA,"#5-81A","Unknown","#10021708069","No","0.5","HP",NA,NA
"SITE_1114","ROOM_15418","APPL_139342","InSinkErator",NA,"BADGER 900 PLUS-1","Unknown","#19031038159","No","0.75","HP",NA,NA
