"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Refrigerator_Freezer_Missing_Model_Reason","Vintage","Serial","Energy_Star","Wifi_Enabled","Primary","Size_Cubic_Feet","Size_Is_Estimated","Percent_of_Year_Used","Door_in_Door","Integrated_Screen","Icemaker_Present","Icemaker_type","Icemaker_Working","Room_Type"
"SITE_1","ROOM_30594","APPL_36890","Side by Side w/ Bottom Freezer","Samsung",NA,"RF28M9580SR",NA,"2017","096Z43BJ900898M","Unknown","Yes","Yes","28","Measured or Known","100","Yes","Yes","Yes","Through door","Yes","Kitchen"
"SITE_1","ROOM_16359","APPL_173879","Side by Side Refrigerator/Freezer","General Electric",NA,"GSH25JSTA SS",NA,"Unknown","SL211830","Unknown","No","No","23.5","Measured or Known","100","Yes","No","Yes","Through door","Unknown","Garage"
"SITE_10","ROOM_16318","APPL_119576","Side by Side Refrigerator/Freezer","Kenmore",NA,"#79551832412",NA,"Unknown","802MRCJ0Z667","No","No","Yes","32","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_100","ROOM_22003","APPL_161869","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS26R4CWB",NA,"2004","LA44213226","No","No","No","26","Measured or Known","100","No","No","Yes","Through door","Unknown","Garage"
"SITE_100","ROOM_3098","APPL_158143","R/F Bottom Freezer","Whirlpool",NA,"WRF555SDFZ08",NA,"Unknown","K91013164","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_100","ROOM_22003","APPL_108265","Chest Freezer","Kelvinator",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","21","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1000","ROOM_32964","APPL_137522","Side by Side w/ Bottom Freezer","Samsung",NA,"RE263BEAESR",NA,"2018","JKJ44BBKA02901V","No","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1000","ROOM_20428","APPL_150681","Chest Freezer","Danby",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","No","7.3","Measured or Known","100",NA,"No","No",NA,NA,"Laundry"
"SITE_1001","ROOM_8213","APPL_74942","Side by Side Refrigerator/Freezer","KitchenAid",NA,"SUPERBA 42","Unknown","Unknown","Unknown","Unknown","No","Yes","25","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1002","ROOM_35185","APPL_63610","Chest Freezer","Frigidaire",NA,"LFFN15M5HWF",NA,"2014","WB41554412","Yes","No","No","10","Estimated","100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_1002","ROOM_4473","APPL_150174","R/F Top Freezer","Whirlpool",NA,"WRT318FZDM02",NA,"Unknown","VS81955020","No","No","Yes","18","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1002","ROOM_42232","APPL_144491","Side by Side w/ Bottom Freezer","Whirlpool",NA,"WRX735SDHZ03",NA,"Unknown","KX4406028","No","No","No","22","Estimated","100","No","No","Yes","Through door","Yes","Outbuilding / Addition"
"SITE_1003","ROOM_35109","APPL_103264","Side by Side Refrigerator/Freezer","Whirlpool",NA,"ED20ZKXBN00",NA,"1995","#SE0310024","No","No","No","20","Measured or Known","50","No","No","No",NA,NA,"Garage"
"SITE_1003","ROOM_30245","APPL_70192","Side by Side Refrigerator/Freezer","Sub-Zero",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","Yes","23","Estimated","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1004","ROOM_7703","APPL_2896","Chest Freezer","Frigidaire",NA,"AFFC2027DW2",NA,"2004","WB45044697","No","No","No","37","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1004","ROOM_10328","APPL_25771","Side by Side Refrigerator/Freezer","General Electric",NA,"LSHF6LGZBEWI",NA,"Unknown","MV 452183","No","No","Yes","42","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1004","ROOM_7703","APPL_74589","Chest Freezer","III Woods",NA,"C07HDA",NA,"Unknown","07511520GG","No","No","No","14","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1004","ROOM_7703","APPL_53966","Side by Side Refrigerator/Freezer","General Electric",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","No","41","Measured or Known","100","No","No","Yes","Through door","Unknown","Garage"
"SITE_1005","ROOM_6312","APPL_17395","Side by Side Refrigerator/Freezer","General Electric",NA,"GSS25LSLLCSS",NA,"Unknown","VM419289","No","No","Yes","23","Estimated","100","No","Yes","Yes","Through door","Yes","Kitchen"
"SITE_1005","ROOM_29214","APPL_40487","Chest Freezer","Danby",NA,"Unknown","Unknown","Unknown","Unknown","Yes","No","No","13","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1005","ROOM_29214","APPL_47643","Mini-Fridge","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","7.5","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1006","ROOM_9134","APPL_86492","Side by Side w/ Bottom Freezer","LG",NA,"LFC22770ST/06",NA,"2021","102MRRNE1K879","Yes","Unknown","Yes","27","Measured or Known","100","No","No","Unknown",NA,NA,"Kitchen"
"SITE_1007","ROOM_24901","APPL_53832","Side by Side w/ Bottom Freezer","KitchenAid",NA,"KFIS29PBMS03",NA,"Unknown","K42819745","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1007","ROOM_33557","APPL_91376","Upright Full Size Single Freezer Only","Kenmore",NA,"#25326428100",NA,"Unknown","WB61628271","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1008","ROOM_6608","APPL_112379","R/F Top Freezer","Maytag",NA,"PTB2153GRW",NA,"Unknown","14686990CC","No","No","Yes","22.1","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1009","ROOM_42596","APPL_5001","R/F Top Freezer","Amana",NA,"ART308FFDW00",NA,"2015","VS50330557","No","No","Yes","22.7","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_101","ROOM_16774","APPL_111784","R/F Top Freezer","General Electric",NA,"GTH18GBDCRBB",NA,"Unknown","DZ754344","No","No","Yes","17.5","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1010","ROOM_44408","APPL_88252","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS26WZAW9",NA,"Unknown","LA41829935","No","No","Yes","44","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1010","ROOM_5502","APPL_8364","Mini-Fridge","Kenmore",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","10","Measured or Known","0",NA,"No","No",NA,NA,"Garage"
"SITE_1010","ROOM_5502","APPL_145648","Mini-Fridge","Haier",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","27","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1011","ROOM_35445","APPL_124529","R/F Bottom Freezer","Whirlpool",NA,"GI6FDRXXY00",NA,"Unknown","KD3441566","No","No","Yes","18","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_1011","ROOM_41492","APPL_139645","R/F Top Freezer","General Electric",NA,"GTH18GBDDRWW",NA,"Unknown","ZA789445","No","No","No","18","Measured or Known","100","No","No","No",NA,NA,"Garage"
"SITE_1012","ROOM_6567","APPL_19159","R/F Top Freezer","Frigidaire",NA,"FGHT2046QP2",NA,"2017","4A72703567","No","No","Yes","22","Measured or Known","100","No","No","No",NA,NA,"Hallway"
"SITE_1012","ROOM_6567","APPL_35104","Chest Freezer","Arctic King",NA,"WHS-185C1WSB",NA,"2016","Unknown","No","No","No","4.2","Measured or Known","100",NA,"No","No",NA,NA,"Hallway"
"SITE_1012","ROOM_35760","APPL_22819","Chest Freezer","Frigidaire",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","25","Measured or Known","100",NA,"No","No",NA,NA,"Closet"
"SITE_1013","ROOM_40249","APPL_99997","R/F Top Freezer","Kenmore",NA,"#25360509616",NA,"2018","BA82129960","No","No","No","Unknown",NA,"100","No","No","No",NA,NA,"Mechanical"
"SITE_1013","ROOM_23628","APPL_53391","R/F Top Freezer","Kenmore",NA,"#11171219613",NA,"Unknown","#MR206E19610042","Yes","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_1013","ROOM_40249","APPL_83409","Upright Full Size Single Freezer Only","General Electric",NA,"Unknown",NA,"Unknown","Unknown","Unknown","No","No","14.8","Measured or Known","100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1014","ROOM_21794","APPL_92734","Side by Side w/ Bottom Freezer","Samsung",NA,"RFG238AARS",NA,"2012","C29843CC800561F","No","No","Yes","26.9","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1014","ROOM_36478","APPL_83031","Upright Full Size Single Freezer Only","General Electric",NA,"FUF14DLRAWW",NA,"Unknown","VH601233","No","No","No","16.4","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1014","ROOM_36478","APPL_41029","R/F Bottom Freezer","Whirlpool",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","No","23","Measured or Known","100","No","No","No",NA,NA,"Garage"
"SITE_1015","ROOM_41236","APPL_16255","Side by Side Refrigerator/Freezer","General Electric",NA,"GSE25GSHNCSS",NA,"2020","DR 416909","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1016","ROOM_14301","APPL_2106","Side by Side Refrigerator/Freezer","Whirlpool",NA,"ED2SHEXZS02",NA,"2010","HR01833159","No","No","Yes","21.5","Measured or Known","100","No","No","Yes","Through door","Yes","Garage"
"SITE_1017","ROOM_22219","APPL_55669","Side by Side Refrigerator/Freezer","Whirlpool",NA,"WES315SDHM05",NA,"2021","HRA2083439","No","No","Yes","23","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_1018","ROOM_10704","APPL_108196","Side by Side Refrigerator/Freezer","Whirlpool",NA,"ED2GVEXVD01",NA,"Unknown","HRY2491073","No","No","Yes","22","Measured or Known","100","No","No","Yes","Through door","Unknown","Kitchen"
"SITE_1018","ROOM_44885","APPL_148046","Upright Full Size Single Freezer Only","Frigidaire",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","16","Estimated","100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1019","ROOM_34863","APPL_75892","Side by Side w/ Bottom Freezer","Samsung",NA,"RF28HDEDBSR/AA",NA,"2016","0ALV4BBH500715W","No","No","Yes","28","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_1019","ROOM_39457","APPL_40576","Upright Full Size Single Freezer Only","Whirlpool",NA,"WZF34X20DW02",NA,"2021","UA3406015","No","No","No","20","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1019","ROOM_39457","APPL_150582","Upright Full Size Single Freezer Only","Whirlpool",NA,"WZF34X20DW01",NA,"2020","UX3109291","No","No","No","20","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1019","ROOM_39457","APPL_144664","Side by Side Refrigerator/Freezer","Kenmore",NA,"#1069512810",NA,"Unknown","SA3614511","No","No","No","22","Measured or Known","100","No","No","Yes","Through door","Unknown","Garage"
"SITE_1019","ROOM_34863","APPL_102375","Mini-Fridge","Sanyo",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","9","Estimated","100",NA,"No","No",NA,NA,"Kitchen"
"SITE_102","ROOM_31576","APPL_151386","R/F Top Freezer","Whirlpool",NA,"WRT311FZDW00",NA,"2016","VS63433629","No","No","Yes","Unknown",NA,"Unknown","No","No","No",NA,NA,"Kitchen"
"SITE_1020","ROOM_21532","APPL_26625","Side by Side w/ Bottom Freezer","Kenmore",NA,"#79571099111",NA,"Unknown","111KR00070","No","No","Yes","48","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1020","ROOM_22469","APPL_111355","Chest Freezer","White-Westinghouse",NA,"FC053LTW3",NA,"Unknown","WB24208429","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Basement"
"SITE_1020","ROOM_22469","APPL_128414","Chest Freezer","III Woods",NA,"C07BBA",NA,"Unknown","09075339HJ","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Basement"
"SITE_1020","ROOM_22469","APPL_7273","Upright Full Size Single Freezer Only","Maytag",NA,"MQF2056TEN00",NA,"Unknown","U14443386","Yes","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Basement"
"SITE_1021","ROOM_41289","APPL_92072","R/F Top Freezer","Whirlpool",NA,"W1TXEMMWQ00",NA,"Unknown","EY5112703","No","No","Yes","Unknown",NA,"100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1021","ROOM_11816","APPL_74032","Mini-Fridge","Whirlpool",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_1021","ROOM_11816","APPL_155008","Chest Freezer","HiSense",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Yes","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_1022","ROOM_45248","APPL_52769","Side by Side w/ Bottom Freezer","LG",NA,"LMWS27626S/02",NA,"2022","201KRQW0U532","Yes","No","Yes","26.9","Measured or Known","100","No","No","Yes","In freezer","Unknown","Kitchen"
"SITE_1022","ROOM_4674","APPL_19464","Upright Full Size Single Freezer Only","Danby",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Yes","No","No","10.2","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1023","ROOM_23428","APPL_60039","Side by Side Refrigerator/Freezer","LG",NA,"LSXS2706S/00",NA,"2022","201MRDZ1K130","No","No","Yes","27","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1023","ROOM_31662","APPL_138460","Upright Full Size Single Freezer Only","Kenmore",NA,"#25328262801",NA,"2008","WB84032843","No","No","No","15","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1023","ROOM_31662","APPL_15361","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFFU20F2VWO",NA,"2021","BB10606758","No","No","No","20","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1023","ROOM_31662","APPL_136007","Chest Freezer","Other","Smad","DSC-186MU",NA,"2020","Unknown","No","No","No","5","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1023","ROOM_31662","APPL_168823","Chest Freezer","Other","Smad","DSC-186MU",NA,"2020","Unknown","No","No","No","5","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1024","ROOM_30076","APPL_86915","R/F Top Freezer","Roper",NA,"RT18BKXKQ02",NA,"2004","VSR3488481","No","No","Yes","26","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1024","ROOM_43592","APPL_31629","Chest Freezer","Kenmore",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","6.5","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1025","ROOM_23312","APPL_98043","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FPUS2686LF0",NA,"2010","4A04504051","No","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Living Room"
"SITE_1025","ROOM_14614","APPL_105117","R/F Top Freezer","Whirlpool",NA,"ET22DQRANOO",NA,"1993","EC5273006","No","No","No","22","Measured or Known","75","No","No","Yes","In freezer","Yes","Garage"
"SITE_1026","ROOM_18850","APPL_110856","R/F Bottom Freezer","Samsung",NA,"RF260BEAESR",NA,"Unknown","Unknown","No","No","Yes","44","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1026","ROOM_11236","APPL_86131","Upright Full Size Single Freezer Only","General Electric",NA,"FUF 20DTFRWH",NA,"Unknown","FR175939","No","No","No","38","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1027","ROOM_30027","APPL_150340","Side by Side Refrigerator/Freezer","Kenmore",NA,"#10654596400",NA,"Unknown","SR2941120","No","No","Yes","20","Estimated","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1027","ROOM_21938","APPL_54632","Chest Freezer","Frigidaire",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","10","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1028","ROOM_38264","APPL_110954","Side by Side Refrigerator/Freezer","Whirlpool",NA,"WRS315SDHZ05",NA,"2012","HRX5210030","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1028","ROOM_7492","APPL_81191","Mini-Fridge","Frigidaire",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","6","Estimated","100",NA,"No","No",NA,NA,"Bedroom"
"SITE_1029","ROOM_23507","APPL_37390","Side by Side Refrigerator/Freezer","General Electric",NA,"GSS23GSKPCSS",NA,"Unknown","TR439348","No","No","Yes","26.8","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_103","ROOM_22645","APPL_69184","Upright Full Size Single Freezer Only","Frigidaire",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","20","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_103","ROOM_10789","APPL_110591","R/F Top Freezer","Whirlpool",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","Yes","26.1","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1030","ROOM_32047","APPL_142977","Side by Side w/ Bottom Freezer","LG",NA,"LRFXS2503S/01",NA,"2022","201MRXX23266","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1031","ROOM_653","APPL_133947","Side by Side Refrigerator/Freezer","Whirlpool",NA,"WRS571CIHZ01",NA,"2020","HRX2888204","No","No","Yes","20","Estimated","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1032","ROOM_1889","APPL_2040","R/F Top Freezer","Hotpoint",NA,"HTS18GBRERWW",NA,"Unknown","AH817852","No","No","Yes","20.4","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1033","ROOM_30980","APPL_102671","R/F Bottom Freezer","LG",NA,"LFC25760ST",NA,"Unknown","611KRHX00921","No","No","Yes","29","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1033","ROOM_12398","APPL_148345","Chest Freezer","Frigidaire",NA,"FFC20C4CW0",NA,"Unknown","WB40652560","No","No","No","23","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1034","ROOM_37510","APPL_130650","R/F Bottom Freezer","Amana",NA,"DRB2201CC",NA,"Unknown","10597197AG","No","No","Yes","27","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1034","ROOM_42641","APPL_167256","Chest Freezer","Sears",NA,"1987124Z0",NA,"Unknown","1226 98887","No","No","No","17","Measured or Known","100",NA,"No","No",NA,NA,"Basement"
"SITE_1034","ROOM_42641","APPL_69","Mini-Fridge","Magic Chef",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","2","Measured or Known","100",NA,"No","No",NA,NA,"Basement"
"SITE_1035","ROOM_32410","APPL_21914","Mini-Fridge","Other","Cuisinart","Unknown",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Laundry"
"SITE_1035","ROOM_32410","APPL_81028","R/F Top Freezer","Frigidaire",NA,"FPI-16TCL-0",NA,"Unknown","71AB2285","No","No","No","Unknown",NA,"100","No","No","No",NA,NA,"Laundry"
"SITE_1035","ROOM_29893","APPL_94512","R/F Top Freezer","Whirlpool",NA,"FT1MHKXMB01",NA,"Unknown","ES0817333","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_1035","ROOM_32410","APPL_4457","Chest Freezer","Danby",NA,"DCF1200WE",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Laundry"
"SITE_1036","ROOM_11885","APPL_33362","R/F Bottom Freezer","Amana",NA,"ABB2224BRM00",NA,"Unknown","K55000659","No","No","Yes","25.3","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1037","ROOM_22687","APPL_59670","R/F Top Freezer","General Electric",NA,"TA14SGB",NA,"Unknown","VS752814","No","No","No","15.7","Measured or Known","100","No","No","No",NA,NA,"Bedroom"
"SITE_1037","ROOM_42931","APPL_13997","Side by Side Refrigerator/Freezer","General Electric",NA,"GSS20IEPJ CC",NA,"Unknown","TH217406","No","No","Yes","21","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1037","ROOM_22687","APPL_158193","Chest Freezer","Unknown",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","No","5.5","Measured or Known","100",NA,"No","No",NA,NA,"Bedroom"
"SITE_1038","ROOM_33895","APPL_90215","Side by Side w/ Bottom Freezer","Samsung",NA,"RF263AEWP",NA,"2011","JJ0F4GBBB01209M","No","No","Yes","34","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1039","ROOM_17569","APPL_127064","Side by Side w/ Bottom Freezer","General Electric",NA,"GFE28GSKKSS","NO NAMEPLATE","Unknown","AM524980","Unknown","Unknown","Yes","Unknown",NA,"100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_104","ROOM_42246","APPL_139467","Side by Side Refrigerator/Freezer","KitchenAid",NA,"KSBP25INSS02",NA,"2007","SU0135462","Unknown","Unknown","Yes","19.9","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_104","ROOM_27297","APPL_115583","Chest Freezer","Kenmore",NA,"#25313312101",NA,"2004","WB40733855","No","No","No","14.5","Measured or Known","100",NA,"No","No",NA,NA,"Laundry"
"SITE_104","ROOM_27297","APPL_129564","R/F Top Freezer","General Electric",NA,"GTS18GTHJRWW",NA,"Unknown","FH764554","Unknown","No","No","17.5","Measured or Known","100","No","No","No",NA,NA,"Laundry"
"SITE_1040","ROOM_37555","APPL_144364","R/F Top Freezer","LG",NA,"LTCS20020W/00",NA,"Unknown","206MRMD39691","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_1040","ROOM_13325","APPL_74063","Chest Freezer","Kelvinator",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Laundry"
"SITE_1040","ROOM_19955","APPL_39800","Chest Freezer","Frigidaire",NA,"Unknown",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_1040","ROOM_19955","APPL_83144","Chest Freezer","Midea",NA,"Unknown",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_1041","ROOM_24279","APPL_53380","R/F Bottom Freezer","General Electric",NA,"CFE28TSHISS",NA,"Unknown","RG509395","No","No","Yes","28","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_1041","ROOM_15817","APPL_81870","Mini-Fridge","Magic Chef",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","6","Estimated","100",NA,"No","No",NA,NA,"Living Room"
"SITE_1042","ROOM_46211","APPL_21103","Side by Side Refrigerator/Freezer","General Electric",NA,"GSH25JGDDBB",NA,"Unknown","GA217178","No","No","Yes","23.8","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1043","ROOM_36997","APPL_105737","Side by Side w/ Bottom Freezer","General Electric",NA,"GFE26JEMNFDS",NA,"Unknown","ZR319489","No","No","Yes","28.2","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1044","ROOM_30581","APPL_39959","R/F Top Freezer","Frigidaire",NA,"FRT18S6JW4",NA,"2009","BA93041382","No","No","No","18","Estimated","100","No","No","No",NA,NA,"Mechanical"
"SITE_1044","ROOM_31724","APPL_17077","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FFHS2611PFEA",NA,"2017","4A713233727","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1044","ROOM_3030","APPL_66364","Mini-Fridge","Galanz",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Family Room"
"SITE_1045","ROOM_11731","APPL_114763","R/F Bottom Freezer","Amana",NA,"BRD18V1C",NA,"Unknown","#0111213599","No","No","Yes","18","Estimated","100","No","No","Yes","In freezer","Unknown","Kitchen"
"SITE_1046","ROOM_2757","APPL_2588","R/F Top Freezer","Kenmore",NA,"#25372244201",NA,"2002","LA25008687","Unknown","No","Yes","Unknown",NA,"100","No","No","Yes","In freezer","Yes","Living Room"
"SITE_1046","ROOM_40769","APPL_40981","Chest Freezer","General Electric",NA,"FCM5SKWW",NA,"Unknown","341B0485001","Unknown","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_1047","ROOM_10514","APPL_62171","Side by Side Refrigerator/Freezer","Maytag",NA,"MSD2572VEB01",NA,"Unknown","HR04163193","Yes","No","Yes","26","Measured or Known","100","Yes","No","Yes","Through door","Yes","Kitchen"
"SITE_1048","ROOM_34871","APPL_34787","Upright Full Size Single Freezer Only","Kenmore",NA,"#2532342410",NA,"2003","WB33143532","No","No","No","12.9","Measured or Known","100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1048","ROOM_34871","APPL_31371","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFFH21F6QWA",NA,"2015","WB51159970","Yes","No","No","21","Measured or Known","100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1048","ROOM_34871","APPL_100683","Full Size Single Refrigerator Only","Kenmore",NA,"#25370722410",NA,"2015","WA54801767","No","No","No","16.3","Measured or Known","100","No","No","No",NA,NA,"Mechanical"
"SITE_1048","ROOM_40271","APPL_122254","Side by Side Refrigerator/Freezer","Samsung",NA,"RS25J500DSG",NA,"2018","0APN4BAKB02781R","No","No","Yes","23.5","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1049","ROOM_9597","APPL_146561","Chest Freezer","Electrolux",NA,"GLFC1526FWA",NA,"2013","WB33977716","No","No","No","19","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1049","ROOM_41375","APPL_41051","Side by Side w/ Bottom Freezer","LG",NA,"LFXS29626S/01",NA,"Unknown","804KRYP24522","No","No","Yes","20","Measured or Known","100","No","Yes","Yes","Through door","Yes","Kitchen"
"SITE_1049","ROOM_9597","APPL_165244","Side by Side w/ Bottom Freezer","General Electric",NA,"PFSS6PKWASS",NA,"Unknown","RM070867","Unknown","No","No","30","Measured or Known","100","No","Yes","Yes","In freezer","No","Garage"
"SITE_1049","ROOM_40543","APPL_12852","Mini-Fridge","Magic Chef",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","5","Measured or Known","100",NA,"No","No",NA,NA,"Bedroom"
"SITE_105","ROOM_32128","APPL_24124","Full Size Single Refrigerator Only","Sub-Zero",NA,"700TR",NA,"Unknown","Unknown","No","No","Yes","15.5","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_105","ROOM_32128","APPL_83312","Chest Freezer","Sub-Zero",NA,"700TF",NA,"Unknown","Unknown","No","No","Yes","15.5","Measured or Known","100",NA,"No","No",NA,NA,"Kitchen"
